mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06645374298095703,0.0060294269449997885,0.0030239582061767577,0.0014407211635537609,1.0,0.1,0.01,100,7,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.13998065161583323,-0.15067100308257836,-0.1397569048284272,-0.14367744806375884,-0.16233779343515028,-0.14728476020514958,0.00849813814892698,12
0.260236930847168,0.02311310775874421,0.002901458740234375,4.1393365544378555e-05,1.0,1.0,0.01,200,9,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.15006255116646997,-0.17136945227412279,-0.15320764576965643,-0.15166040280643397,-0.18358771475153568,-0.16197755335364378,0.013270485993672268,25
0.08728671073913574,0.0044997219500407986,0.003922700881958008,0.001228961899954993,0.8,1.0,1.0,100,9,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.19567417768909295,-0.22586175116889412,-0.2087231237332882,-0.20071769424547992,-0.24130082484452017,-0.21445551433625507,0.016882532654154375,29
0.04436492919921875,0.012162876685672884,0.0019159793853759765,0.0003701719567447869,1.0,1.0,1.0,300,7,0.2,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.13848208454253605,-0.14614435840830048,-0.13869129422963047,-0.1492447096026514,-0.16654609377864887,-0.14782170811235346,0.010257037388514828,13
0.09229207038879395,0.006684456560010558,0.0033365726470947266,0.0007822387154233903,0.6,1.0,1.0,200,9,0.1,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.14133048385586208,-0.14454196665852923,-0.1341993654367246,-0.1469312523144759,-0.1620829395431016,-0.14581720156173866,0.009192892006504801,10
0.17129507064819335,0.028115747717296444,0.005314302444458008,0.0013191500463516095,0.8,0.1,1.0,400,9,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.1394918112778485,-0.1539598875228383,-0.14028140040965295,-0.14210472316937958,-0.1692380780998344,-0.14901518009591075,0.011385461004293013,16
0.033816051483154294,0.004038063606800437,0.002184772491455078,0.000834950967714012,0.8,0.1,0.0,100,5,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.13015597073441051,-0.1451308236282129,-0.1347455988444307,-0.1369800519967063,-0.16207754309513972,-0.14181799765978004,0.011232554583840482,2
0.04450922012329102,0.007943235000289947,0.0018949031829833985,0.0007866856112221071,1.0,0.1,1.0,300,3,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.13213054773069222,-0.14321509487893966,-0.13223926789643733,-0.14073717667295255,-0.16437575995930837,-0.14253956942766602,0.011789555678939323,3
0.04508967399597168,0.0024922879883907865,0.0016589641571044921,2.4885875004744137e-05,0.8,0.1,0.1,100,7,0.2,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 0.6}",-0.13703661503855502,-0.15768697776174967,-0.1431285331274271,-0.14748563853581262,-0.17064957390617685,-0.15119746767394426,0.01183142684275791,19
0.01756458282470703,0.0035630512790308425,0.0023512840270996094,0.0008102404307949964,0.8,0.1,1.0,100,3,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.20207947502029905,-0.2344963881966943,-0.2149407331726444,-0.2067038708182817,-0.25050726174828314,-0.2217455457912405,0.018161123793291746,30
