State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Rajkot,Dhoraji,"Castor Seed","Castor seed",FAQ,22/03/2025,5980,6080,6080
Gujarat,Rajkot,Dhoraji,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,22/03/2025,6500,8905,8255
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,22/03/2025,7000,18000,12500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,22/03/2025,300,1200,750
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Chili Red",Other,FAQ,22/03/2025,750,2351,1701
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Other,FAQ,22/03/2025,3750,5605,5355
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Onion,Onion,FAQ,22/03/2025,375,1600,850
Gujarat,Rajkot,Upleta,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,22/03/2025,4750,5005,4850
Gujarat,Sabarkantha,Khedbrahma,Wheat,Other,FAQ,22/03/2025,2500,2750,2625
Gujarat,Sabarkantha,Modasa,Mustard,"Lohi Black",Non-FAQ,22/03/2025,4500,5220,5220
Gujarat,Sabarkantha,Vadali,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,22/03/2025,5750,6415,6082
Gujarat,Sabarkantha,Vadali,"Black Gram (Urd Beans)(Whole)",Other,Non-FAQ,22/03/2025,3750,4780,4265
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,22/03/2025,1450,1850,1650
Gujarat,Surat,Surat,Beetroot,Other,FAQ,22/03/2025,600,1000,800
Gujarat,Surat,Surat,"Bhindi(Ladies Finger)",Other,FAQ,22/03/2025,1500,3500,2500
Gujarat,Surat,Surat,Brinjal,Other,FAQ,22/03/2025,1000,2500,1750
Gujarat,Surat,Surat,Cabbage,Other,FAQ,22/03/2025,400,1500,950
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,22/03/2025,2500,3100,2800
Gujarat,Surat,Surat,Onion,Other,FAQ,22/03/2025,1000,2400,1750
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,22/03/2025,500,1100,800
Gujarat,Surat,Surat,Tomato,Other,FAQ,22/03/2025,500,1000,750
Gujarat,Surendranagar,"Dasada Patadi","Corriander seed","Coriander Seed",FAQ,22/03/2025,6500,7500,7100
Gujarat,Surendranagar,Vadhvan,Cabbage,Cabbage,FAQ,22/03/2025,500,650,575
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,22/03/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,22/03/2025,1500,2500,2000
Gujarat,Surendranagar,Vadhvan,Onion,Onion,FAQ,22/03/2025,1500,2500,2000
Gujarat,Surendranagar,Vadhvan,Tomato,Tomato,FAQ,22/03/2025,500,625,563
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,22/03/2025,4500,5000,4750
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,22/03/2025,750,1000,900
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,FAQ,22/03/2025,3250,3750,3500
Gujarat,Vadodara(Baroda),Padra,"Indian Beans (Seam)",Other,FAQ,22/03/2025,3500,3750,3625
